continent,population,"tot cases/1m pop","deaths/1m pop",totaltests,"tests/1m pop",country_region_world,"1 week % increase","who region",total_cases_combined,total_deaths_combined,total_recovered_combined,active_cases_combined,serious_critical,confirmed_combined
,,,,,,Afghanistan,20.28,"Eastern Mediterranean",658,588,9162,19326,0,50422
Asia,38891787,,14.0,61599,1584,,,,27532,546,7660,19326,19,0
"North America",97901,,31.0,489,4995,"Antigua and Barbuda",0.0,Americas,26,6,44,2,1,52
Asia,2963072,,108.0,91943,31030,Armenia,27.47,Europe,20281,645,17278,21401,10,33367
,,,,,,Australia,1.65,"Western Pacific",18,102,6879,429,0,14698
Asia,10136021,,14.0,403499,39808,Azerbaijan,27.55,Europe,11667,284,12501,9996,66,20211
,,,,,,Bahrain,22.58,"Eastern Mediterranean",469,61,15207,5679,0,37097
"North America",397344,,5.0,1957,4925,Belize,10.0,Americas,22,4,32,8,0,42
Africa,12109320,,0.9,46622,3850,Benin,95.74,Africa,622,24,477,696,2,902
,,,,,,Bhutan,8.06,"South-East Asia",0,0,26,42,0,129
"North America",30224,,33.0,212,7014,,,,8,1,7,0,0,0
Asia,437333,,7.0,25931,59293,,,,141,3,138,0,1,0
Europe,6949817,,27.0,112483,16185,Bulgaria,19.05,Europe,3806,386,3943,3086,13,6760
Africa,11874597,,0.08,382,32,Burundi,22.35,Africa,104,2,150,56,0,189
Asia,16710391,,,29915,1790,,,,129,0,126,3,1,0
"North America",37730767,,220.0,2295440,60837,Canada,2.74,Americas,100606,16709,62496,122928,1990,201010
,,,,,,China,0.33,"Western Pacific",36,4638,79520,341,0,168710
Africa,868841,,6.0,,,Comoros,29.63,Africa,223,12,260,152,0,372
,,,,,,"Congo (Kinshasa)",17.01,Africa,183,119,730,4481,0,9798
"North America",164072,,6.0,1080,6582,,,,23,1,19,3,0,0
Africa,89436007,,1.0,,,,,,5283,117,685,4481,0,0
,,,,,,,,,712,13,651,48,4,0
Africa,987462,,44.0,43871,44428,,,,4557,43,3527,987,0,0
"North America",10844096,,59.0,117119,10800,"Dominican Republic",14.96,Americas,25185,1272,28663,19434,162,46082
,,,,,,Egypt,26.96,"Eastern Mediterranean",1218,2026,13915,34971,0,90163
